id,author,description,clean,sentiment
1509,@Miwensi,Dan kalian tidak sadar sudah membunuh rezeki rakyat indonesia sendiri,dan kalian tidak sadar sudah membunuh rezeki rakyat indonesia sendiri,negative
1510,@fahriahmad1206,Gini gw bingung gw kan warung dan gw jual royco udh lama sebelum boikot terus ini masih ada sisa di buang sayang di pake haram,gini gw bingung gw kan warung dan gw jual royco udh lama sebelum boikot terus ini masih ada sisa di buang sayang di pake haram,negative
1511,@nurlina9092,Roikokan ada logo halal,roikokan ada logo halal,neutral
1512,@wiedouhutama157,"Teriak boikot2 tapi pakai internet, gadget, media sosial, dan alat elektronik buatan israel..?? 🤣😂🤣😂🤣 Ingatlah..!! Pikirkan berapa banyak suami-istri-anak dari karyawan yg kerja di perusahaan itu untuk menghidupi anak-istri-suami-org tua mereka..!!",teriak boikot tapi pakai internet gadget media sosial dan alat elektronik buatan israel ingatlah pikirkan berapa banyak suamiistrianak dari karyawan yg kerja di perusahaan itu untuk menghidupi anakistrisuamiorg tua mereka,negative
1513,@zaenalmukaromzaenal3514,TIDK BEGITU CARANYA BOIKOT.. STOP PRODUK NYA MASUK KE INDONESIA ITU BARU BENER,tidk begitu caranya boikot stop produk nya masuk ke indonesia itu baru bener,negative
1514,@netero9244,"lg main boikot boikotan tahh??? 🤣 noh arab saudi gk mau embargo minyak buat israel 🤣 boikot juga dong karna bela israel , jgn naik haji brti 👻 eit jgn emosii",lg main boikot boikotan tahh noh arab saudi gk mau embargo minyak buat israel boikot juga dong karna bela israel jgn naik haji brti eit jgn emosii,negative
1515,@o.a.m7954,"🤭🤭😆😆😆🤪🤪😛😛🤭😆😆😆 goblok yg d boikot itu produk dalam negeri juga, goblok2",goblok yg boikot itu produk dalam negeri juga goblok,negative
1516,@tothepoint6055,Hari ini di boikot.. Nanti kalau damai beli lagi... Kalau perang lagi boikot lagi.... Otak orang emang terbelakang,hari ini di boikot nanti kalau damai beli lagi kalau perang lagi boikot lagi otak orang emang terbelakang,negative
1517,@Cut_Throat_Only,Royco keperluan orang banyak,royco keperluan orang banyak,neutral
1518,@sakkhadamaraji3740,Fitnah terhadap produk Indonesia...jika kalian ikuti Bersiaplah mnghadapim kehancuran mlebihi palestia,fitnah terhadap produk indonesiajika kalian ikuti bersiaplah mnghadapim kehancuran mlebihi palestia,negative
1519,@Inceritaa,Angel temen uripmu,angel temen uripmu,negative
1520,@user-qn5qu1in9x,Gajelas ih sumpah ini video,gajelas ih sumpah ini video,negative
1521,@user-rg2zf9el4g,PEMERINTAH STOP ❌❌❌⛔⛔⛔PRODUK ISRAEL ... INDONESIA SYURGANYA DUNIA 🤲🤲🤲🙏,pemerintah stop produk israel indonesia syurganya dunia,negative
1522,@KeanuYonas,Lu bukan miskinin Israel tapi lu miskinin warga sendiri dampak nya bakal gede bakal banyak pengganguran di Indonesia 😂 cara kayak begini gak ada dampak sama sekali ke Israel 😂 gw juga ngedukung Palestina merdeka free Palestine tapi cara gw berdoa agar warga Palestina kuat dan para syuhada syuhada disana surga bagi mereka. Bukan lu Mala miskinin rakyat sendiri Dongo 😂,lu bukan miskinin israel tapi lu miskinin warga sendiri dampak nya bakal gede bakal banyak pengganguran di indonesia cara kayak begini gak ada dampak sama sekali ke israel gw juga ngedukung palestina merdeka free palestine tapi cara gw berdoa agar warga palestina kuat dan para syuhada syuhada disana surga bagi mereka bukan lu mala miskinin rakyat sendiri dongo,negative
1523,@razmage1579,Pemerintah lah yang bertanggung jawab atas semua ini😢,pemerintah lah yang bertanggung jawab atas semua ini,neutral
1524,@ikbalhadiansah5727,Sedang mencoba mebiasakan boikot brg2 tersebut smngat 💪💪💪,sedang mencoba mebiasakan boikot brg tersebut smngat,neutral
1525,@biso5749,"Bodoh dipiara…tapi masih pakai mobil, laptop hape toh…boikot jg dong…buang semuanya, pake onta aja yg asli arab…di mesjid jangan pake Toa…pake corong gwde aja…harus totalitas dong..jangan pake pesawat terbang juga…pake onta aja kemana-termasuk naik hajinya pake onta…😂",bodoh dipiara tapi masih pakai mobil laptop hape toh boikot jg dong buang semuanya pake onta aja yg asli arab di mesjid jangan pake toa pake corong gwde aja harus totalitas dongjangan pake pesawat terbang juga pake onta aja kemanatermasuk naik hajinya pake onta,negative
1526,@rimbaputradewa8429,"masa sari wangi buatan israel,...",masa sari wangi buatan israel,negative
1527,@Ntskyy,Video boikot di tiktok: 😊 Video boikot di yt: 💀,video boikot di tiktok video boikot di yt,neutral
1528,@opiklokom3755,"Baru urusannya SMA anda apa,kita beli produk mereka krna kebutuhan Buat konten yg bermanfaat,bukan segala cara untuk mndptkn subscribe Kita subscribe dua ,dia dpt duit kita ma ngga🤷",baru urusannya sma anda apakita beli produk mereka krna kebutuhan buat konten yg bermanfaatbukan segala cara untuk mndptkn subscribe kita subscribe dua dia dpt duit kita ma ngga,negative
1529,@lapakponsel8475,Video sngat brguna... jd org2 dh tw yg mna aja produk zionis....,video sngat brguna jd org dh tw yg mna aja produk zionis,negative
1530,@drO2Jam,"Kecap ABC, Heinz ya.. itu produk mana?",kecap abc heinz ya itu produk mana,neutral
1531,@dewiyss3780,semoga si kecil ngerti 😓 Aamiin 👍,semoga si kecil ngerti aamiin,positive
1532,@RiyanPodok,Kami saudara diindonesia akan siap tidak membeli produk israel kami akan mendoakan saudara kami ( palestina),kami saudara diindonesia akan siap tidak membeli produk israel kami akan mendoakan saudara kami palestina,neutral
1533,@aminblong7833,Saya baru tau kecap bango itu produk israel Aku kira produk indonesia,saya baru tau kecap bango itu produk israel aku kira produk indonesia,neutral
1534,@dendichrisman6038,Sama bang,sama bang,positive
1535,@Asianpost-hd7mk,"Buat yg ngerti industri, kenapa produk israel bahkan sebagian besar ada di negara ini??? Knp ini? Dan namanya nama indo. Contoh bango? Tolong jelaskan",buat yg ngerti industri kenapa produk israel bahkan sebagian besar ada di negara ini knp ini dan namanya nama indo contoh bango tolong jelaskan,negative
1536,@Mancing302,Yg punya Chanel kompotitor😂,yg punya chanel kompotitor,neutral
1537,@Mancing302,Hoax,hoax,negative
1538,@RudiRudi-ih2og,Nazis produksi Israel anjing yahudi biadab,nazis produksi israel anjing yahudi biadab,negative
1539,@aryoaryo2355,trus klo di boikot bagaimana saudara kita yang bekerja di pabrik mereka. .. apa pemerintah siap memberi pekerja\'an untuk berjuta juta pekerja..,trus klo di boikot bagaimana saudara kita yang bekerja di pabrik mereka apa pemerintah siap memberi pekerjaan untuk berjuta juta pekerja,negative
1540,@yerushalayim_yishrael,keturunan ismael bodoh amin,keturunan ismael bodoh amin,negative
1541,@michaelis2319,"kalo gw butuh ya ttp beli,, persetan boikot2 barang beli produk israel bukan berarti dukung mreka,, niat gw cuma bantu warung tetangga",kalo gw butuh ya ttp beli persetan boikot barang beli produk israel bukan berarti dukung mreka niat gw cuma bantu warung tetangga,negative
1542,@hunaifasada2271,Kemarin liat penjelasan kalau aqua gx ada sangkut pautnya ama israel..,kemarin liat penjelasan kalau aqua gx ada sangkut pautnya ama israel,negative
1543,@EpicHD69,Kayaknya Israel ga punya produk sendiri deh😅😅,kayaknya israel ga punya produk sendiri deh,negative
1544,@kvlnnguyieb9522,NGAKAK 😂😂😂 SEMUA PRODUK PENDUKUNG ISRAEL DRUN. KALAU BENAR2 MAU BOIKOT PRODUCTNYA ISRAEL. NIH PRODUK LANGSUNG YANG ISRAEL BIKIN. BOIKOT PENGGUNAAN SMARTPHONE KARENA ISRAEL ADA HAK PATEN LAYAR TOUCH SCREEN. KEMUDIAN DI SMARTPHONE ANDA ADA GPS ITU JUGA DARI ISRAEL. JANGAN PAKAI GPS. SELAMA INI JIKA KALIAN MENGGUNAKAN GPS UNTUK MENUNTUN PERJALANAN ANDA. ITU BERARTI SEBENARNYA KALIAN DITUNTUN OLEH ISRAEL AGAR TIDAK SALAH JALAN DAN MENUJU KE JALAN YANG BENAR,ngakak semua produk pendukung israel drun kalau benar mau boikot productnya israel nih produk langsung yang israel bikin boikot penggunaan smartphone karena israel ada hak paten layar touch screen kemudian di smartphone anda ada gps itu juga dari israel jangan pakai gps selama ini jika kalian menggunakan gps untuk menuntun perjalanan anda itu berarti sebenarnya kalian dituntun oleh israel agar tidak salah jalan dan menuju ke jalan yang benar,negative
1545,@hideousnorton,Le minerale 15L udah langka 😢,le minerale udah langka,negative
1546,@alihamzah7539,"Hahaha, gw tetap beli karena itu hak saya sebagai pembeli 🇮🇩 ❤️ 🇵🇸",hahaha gw tetap beli karena itu hak saya sebagai pembeli,positive
1547,@Ferby_Samdo,"rakyat dsuruh boikot, tpi pemerintahnya jalin kerjasama minyak, brg² mentah, dll. kan gobl0k t0l0l dun9u kalian smua 😂 boikat boikot aja bisanya ngikut jdi ekor. perbanyak baca, perluas ilmu, bersatu, bikin teknologi tandingan, baru israel bisa dikalahkan. emang kalian mw boikot brp lama si?? palingan 1-2 bulan kdepan kalian beli lagi krn murah 🤣🤣🤣",rakyat dsuruh boikot tpi pemerintahnya jalin kerjasama minyak brg mentah dll kan gobl dun kalian smua boikat boikot aja bisanya ngikut jdi ekor perbanyak baca perluas ilmu bersatu bikin teknologi tandingan baru israel bisa dikalahkan emang kalian mw boikot brp lama si palingan bulan kdepan kalian beli lagi krn murah,negative
1548,@Udin_Soleh,"Ayo kita berjuan bersama... Semoga perjuangan kita tidak sia"" 🤲🤲",ayo kita berjuan bersama semoga perjuangan kita tidak sia,positive
1549,@agustian6584,"Mau di beli atau enggak itu uda gak guna.. itu barang sudah didistribusikan ke toko2,artinya sudah dibayar duluan ke israel baru dijual oleh pedagang di indonesia.. Kasian yg dagang..",mau di beli atau enggak itu uda gak guna itu barang sudah didistribusikan ke toko artinya sudah dibayar duluan ke israel baru dijual oleh pedagang di indonesia kasian yg dagang,negative
1550,@RifkiDeking,Dagangan ngk salah boikat boiket berdoa yg hushu,dagangan ngk salah boikat boiket berdoa yg hushu,negative
1551,@akumtea8476,"Banyak pertimbangan pemerintah untuk memboikot produk,karena di belakang nya akan ada banyak orang yg akan kehilangan pekerjaan,saya cuma bisa berdo\'a semoga saudaraku di Palestina di kuatkan sabar dengan ke adaan ini yg sudah meninggal semoga mereka jadi penghuni yg abadi.",banyak pertimbangan pemerintah untuk memboikot produkkarena di belakang nya akan ada banyak orang yg akan kehilangan pekerjaansaya cuma bisa berdoa semoga saudaraku di palestina di kuatkan sabar dengan ke adaan ini yg sudah meninggal semoga mereka jadi penghuni yg abadi,positive
1552,@Noahalfatih,"Betul..pola pikir anda benar, sekarang kita harus realistis...doa lah yg sekrang bisa kita perbuat..aamiin",betulpola pikir anda benar sekarang kita harus realistisdoa lah yg sekrang bisa kita perbuataamiin,positive
1553,@cicihandayani1690,"Sedangkan di palestina bukan hanya kehilangan pekerjaan aja bro,pasti Allah juga akan menggantikan yang lebih baik lagi",sedangkan di palestina bukan hanya kehilangan pekerjaan aja bropasti allah juga akan menggantikan yang lebih baik lagi,positive
1554,@rintanrenatta,Itu sebabnya org islam dilarang kerja dibawah naungan org kafir yg dzolim. Skrg sudah nasi jadi bubur.. Semua takut kehilangan pekerjaan dan mereka membantu org kafir yg dzolim itu dalam kedzolimanya,itu sebabnya org islam dilarang kerja dibawah naungan org kafir yg dzolim skrg sudah nasi jadi bubur semua takut kehilangan pekerjaan dan mereka membantu org kafir yg dzolim itu dalam kedzolimanya,negative
1556,@wuriprastutisoetardjo1185,"Orang Indonesia hanya kehilangan pekerjaan. Orang Palestina kehilangan rumah, keluarga bahkan RS dan fasilitas umum rusak. Pikir dong. Pertimbangkan dulu membela pekerja yg diboikot. Yg belum merasakan rusaknya negara lingkungan dan keluarga yg banyak meninggal pasti akan omong kasihan org Indonesia yg kehilangan pekerjaan karena diboikot. Hanya kehilangan pekerjaan, kalau beriman pasti Allah SWT akan mengganti yg lebih baik rezeki nya. ALLAH ITU SESUAI PRASANGKA KITA",orang indonesia hanya kehilangan pekerjaan orang palestina kehilangan rumah keluarga bahkan rs dan fasilitas umum rusak pikir dong pertimbangkan dulu membela pekerja yg diboikot yg belum merasakan rusaknya negara lingkungan dan keluarga yg banyak meninggal pasti akan omong kasihan org indonesia yg kehilangan pekerjaan karena diboikot hanya kehilangan pekerjaan kalau beriman pasti allah swt akan mengganti yg lebih baik rezeki nya allah itu sesuai prasangka kita,negative
1557,@fendifathanrazanal-ghani7274,Wa di boikot,wa di boikot,negative
1558,@pendekarkebenaran29,Anda dukung Palestina karna agama atau perikemanusiaan di palestina juga ada kristennya sama juga di Israel begitu juga dengan agama mu jing😂,anda dukung palestina karna agama atau perikemanusiaan di palestina juga ada kristennya sama juga di israel begitu juga dengan agama mu jing,negative
1559,@petrusbky5348,"hahaha, lanjutkan,ujung nyuci piring pake pasir",hahaha lanjutkanujung nyuci piring pake pasir,neutral
1560,@iwiw12,"Boikot itu yg baru mau masuk dari luar negri ke Indonesia,,,kalo yg sudah terlanjur diwarung ya dibeli, kasian pedagang kecil...",boikot itu yg baru mau masuk dari luar negri ke indonesiakalo yg sudah terlanjur diwarung ya dibeli kasian pedagang kecil,negative
1561,@efraimhutasoit8771,"Kasihan saudara kita setanah air yg berkerja di pabrik dlam negeri ini,cepat atau lambat terjadi phk krna tidak ada gaji...produsen pun bisa saja membuka lapak di negara lain dgn mudahnya tapi saudara setanah air ini yg kasihan mnjdi pengangguran karena ego yg kurang bijak utk membela ""saudara beda negara"" di sana,padahal pemerintah sudah membantu utk palestine  pemerintah tdk ada sedikitpun statement utk memboikot produk yg bela israel...ini salah kaprah!! Karena pada dasarnya pasar tidak melihat politik/konflik negara tapi karena hanya tujuan Laba  kebetulan negara israel banyak Negara pendukung Yg memiliki konsumen besar..indonesia tidak termasuk kedalam pasar besar tapi kita sendiri yg merugi.",kasihan saudara kita setanah air yg berkerja di pabrik dlam negeri inicepat atau lambat terjadi phk krna tidak ada gajiprodusen pun bisa saja membuka lapak di negara lain dgn mudahnya tapi saudara setanah air ini yg kasihan mnjdi pengangguran karena ego yg kurang bijak utk membela saudara beda negara di sanapadahal pemerintah sudah membantu utk palestine pemerintah tdk ada sedikitpun statement utk memboikot produk yg bela israelini salah kaprah karena pada dasarnya pasar tidak melihat politikkonflik negara tapi karena hanya tujuan laba kebetulan negara israel banyak negara pendukung yg memiliki konsumen besarindonesia tidak termasuk kedalam pasar besar tapi kita sendiri yg merugi,negative
1562,@deprianibili2618,dasar fanatik tolol,dasar fanatik tolol,negative
1563,@erwinrommel7911,Walau beli produk cina lebih mending daripada produk israel ayok buat kaya koh xi jin ping,walau beli produk cina lebih mending daripada produk israel ayok buat kaya koh xi jin ping,negative
1564,@yonnzconstantine3784,youtube ama whatsapp kaga diboikot bang???,youtube ama whatsapp kaga diboikot bang,negative
1565,@yudisetiawan3227,Carikan gantinya dong.. jangan asl boikot aja... Enak aj lu ngomong min,carikan gantinya dong jangan asl boikot aja enak aj lu ngomong min,negative
1566,@alyaherlina7110,"Saya kalau denger nama palestina pasti sedih nangis karna, kehilangan sodara ibu bapak ibu Ade kk cara kejam. Ayah saya aja meninggal karna sakit sudah jln dan udh waktu nya, sedih nangis gak terima apa lagi kematian sodara sodara kita di Palestina..salam damai y buat yang komen di sini ya..❤",saya kalau denger nama palestina pasti sedih nangis karna kehilangan sodara ibu bapak ibu ade kk cara kejam ayah saya aja meninggal karna sakit sudah jln dan udh waktu nya sedih nangis gak terima apa lagi kematian sodara sodara kita di palestinasalam damai buat yang komen di sini ya,positive
1567,@fortheternity5947,"Makin aneh jaman sekarang, emang iya ada unsur israelnya dimakanannya kan enggak toh, lagian juga yang buat orang indonesia tapi produk makanannya aja yang dikirim buat israel bener gak?",makin aneh jaman sekarang emang iya ada unsur israelnya dimakanannya kan enggak toh lagian juga yang buat orang indonesia tapi produk makanannya aja yang dikirim buat israel bener gak,negative
1568,@mohamadromli4502,"Namanya kecap bango nama indo,tp punya Israel tolong yg bisa jelasin,karna aku ga paham",namanya kecap bango nama indotp punya israel tolong yg bisa jelasinkarna aku ga paham,negative
1569,@manaquirinus453,Org muslim ada org terbodok sluru dunia..silakan d defenisikan sndri...😅😅😅😅nti klo ada yg blom paham bru aq jelaskan silakan komen,org muslim ada org terbodok sluru duniasilakan defenisikan sndri nti klo ada yg blom paham bru aq jelaskan silakan komen,neutral
1570,@Leo12136,Produk Israel tidakpapa di beli kecuali mendukung Israelnya langsung,produk israel tidakpapa di beli kecuali mendukung israelnya langsung,negative
1571,@lancangsuksesmandiri6277,Produk elektronik apple knp ga sekalian ikut diperintahkan boikot ya ?,produk elektronik apple knp ga sekalian ikut diperintahkan boikot ya,negative
1572,@furnitureakalakalan6075,Kui opo tenan??? Opo gur fitnah belaka,kui opo tenan opo gur fitnah belaka,negative
1573,@triiutami8486,Padahal enakan le mineral seger terus,padahal enakan le mineral seger terus,positive
1574,@user-hz7zf4fc8e,Kalau produk israel ada di indonesia itukan udah di proses dengan indonesia dan halal dan doakan palestine❤❤,kalau produk israel ada di indonesia itukan udah di proses dengan indonesia dan halal dan doakan palestine,positive
1575,@bayuwahyudin5059,"sy setuju boikot....tapi ingat klo ingin memberikan sanksi secara ekonomi,maka ekonomi kita harus kuat dulu... aksi solidaritas harus tapi harus di perhitungkan dampak bagi ekonomi kita...",sy setuju boikottapi ingat klo ingin memberikan sanksi secara ekonomimaka ekonomi kita harus kuat dulu aksi solidaritas harus tapi harus di perhitungkan dampak bagi ekonomi kita,negative
1576,@ikhwanwahyudi815,Kok Israel semua...bukankah itu produksi Indonesia?,kok israel semuabukankah itu produksi indonesia,negative
1577,@user-ue9nk4vm4b,Berat tapi sy sdh gak pakai aqua di toko sya.padahal galonnya byak...smoga allah mencatat sya jga empati pada saudara palestina,berat tapi sy sdh gak pakai aqua di toko syapadahal galonnya byaksmoga allah mencatat sya jga empati pada saudara palestina,positive
1578,@komiser8104,Bg yang ku tau seksrang royco tidak ada merek unilever bg,bg yang ku tau seksrang royco tidak ada merek unilever bg,neutral
1579,@AdeFatriadi,"Sariwangi bagaimana bisa milik israel, baru tau saya...kalo begitu sy g akan pernah beli lagi",sariwangi bagaimana bisa milik israel baru tau sayakalo begitu sy akan pernah beli lagi,neutral
1580,@agusmail6327,Ciri2 produk Israil kayak gimn,ciri produk israil kayak gimn,negative
1581,@indradirgantara-dd2sn,Saya sih setuju... Dgn cara apapun kita dukung Palestina,saya sih setuju dgn cara apapun kita dukung palestina,positive
1582,@Djamalparizi93,"yg saya bingungkan disini,, kenapa ga di tutup aja exspor dari negara pro israel,,kalau dah disini dilarang kan lucu indonesia🤣🤣🤣",yg saya bingungkan disini kenapa ga di tutup aja exspor dari negara pro israelkalau dah disini dilarang kan lucu indonesia,negative
1583,@kurniawansukamto9951,goblok kok dikuti,goblok kok dikuti,negative
1584,@mbaesangkil6242,Baikot Chanel seperti ini,baikot chanel seperti ini,negative
1585,@ismanismun5736,Bangkrutlah kalian yahudi bani israil DUNIA AKHERAT!,bangkrutlah kalian yahudi bani israil dunia akherat,negative
1586,@akimhaikal4356,Kenapa makanan aja yg korg boikot. Hp gak di boikot,kenapa makanan aja yg korg boikot hp gak di boikot,negative
1587,@YSR_TRANS3117,"Saya bukan nya pake produk Israèl tapi sebenarnya Aqua tidak mendukung atau Memproduksi Ke Israèl Jadi yang di katakan kalo Aqua produk Israèl itu salah besar Aqua tidak pernah dukung Israèl itu hanya Hoax, Stop sebar Berita Hoax",saya bukan nya pake produk isra tapi sebenarnya aqua tidak mendukung atau memproduksi ke isra jadi yang di katakan kalo aqua produk isra itu salah besar aqua tidak pernah dukung isra itu hanya hoax stop sebar berita hoax,negative
1588,@Z-ONE.,Emang Israel buat produk itu?,emang israel buat produk itu,negative
1589,@slebewww3286,"gua bingung, klw pilih"" ky gini, gk tau mana yg Israel mana yg Indonesia, kirain gua itu produk kita semua 😅",gua bingung klw pilih ky gini gk tau mana yg israel mana yg indonesia kirain gua itu produk kita semua,negative
1590,@lilikbadriyah,"jauh sebelum isu boikot ini muncul, saya sdah stop pake produk² uni***.tepatnya pas tau bahwa mereka mendukung elgebete.terbayang nanti pas yaumulhisab 😭",jauh sebelum isu boikot ini muncul saya sdah stop pake produk unitepatnya pas tau bahwa mereka mendukung elgebeteterbayang nanti pas yaumulhisab,negative
1591,@fauzirizalfaisal,WA udh di boikot blum 😅😂,wa udh di boikot blum,negative
1592,@Wawan-xu6bj,Boikot produk Israel babi,boikot produk israel babi,negative
1593,@SofieSabrina-mk6yd,klo semuanya pda gk boleh bkin sndri apakah kita bisa hdup sbtng kara tnpa ada bntuan dn tiruan bisa mati kita semuanya klo ngandelin ego dn emo aja...klo semua islam kita percya masih ada allah swt yg slalu mnjga kita dn allah itu gk akan tdr jd jelas siapa yg slah dn siapa yg bnar yg pnting yg kita makan dri dlu smpe skrg msh ada itu halal pham kah dari sini....,klo semuanya pda gk boleh bkin sndri apakah kita bisa hdup sbtng kara tnpa ada bntuan dn tiruan bisa mati kita semuanya klo ngandelin ego dn emo ajaklo semua islam kita percya masih ada allah swt yg slalu mnjga kita dn allah itu gk akan tdr jd jelas siapa yg slah dn siapa yg bnar yg pnting yg kita makan dri dlu smpe skrg msh ada itu halal pham kah dari sini,negative
1594,@SofieSabrina-mk6yd,kdng heran jga sm orng2 stlah udh perng bgni dri dlu knp semuanya pda gk nyadar klo semua produk2 dn slama ini kita slalu komsumsi bhn2 pokoj sprti brand2 atau produk2 dri negara2 luar sprti izrael ini dn bberpa negara2 lainnya....coba dipikir slama ini dari kita masih kecil dn gk tau apa2 dn sblm trjdi peperngn izrael dn palestine prtma kluar bhn2 atau produk2 sperti oreo dn pepsodent dl knp kita semua masih komsumsi itu semuanya sdngkn sudh sprti ini semua orng seolah maau sprti mau brdiri sndri.. tnpa memikirkn anak2 kita yg bru lahir dn msih kcil itu butub gizi sprti 4 shat dn 5 smpurna...biarlah peperngn itu trjadi kita doakan semuanya suapaya bisa menyelesaikan perselihan kontak senjata atau apa lah dn cpt slesai dn damai sluruh dunia ingt msih ada allah swt dn pra pngikutnya allah swt itu insyallah bkl ada azab dari maha kuasa ilahi jd kita sbagai manusia tlonglah pikir pnjng jgn emosi dn ego aja yg diandalkan tp bgaimana kita bsa hdup smpe umur dipnggil,kdng heran jga sm orng stlah udh perng bgni dri dlu knp semuanya pda gk nyadar klo semua produk dn slama ini kita slalu komsumsi bhn pokoj sprti brand atau produk dri negara luar sprti izrael ini dn bberpa negara lainnyacoba dipikir slama ini dari kita masih kecil dn gk tau apa dn sblm trjdi peperngn izrael dn palestine prtma kluar bhn atau produk sperti oreo dn pepsodent dl knp kita semua masih komsumsi itu semuanya sdngkn sudh sprti ini semua orng seolah maau sprti mau brdiri sndri tnpa memikirkn anak kita yg bru lahir dn msih kcil itu butub gizi sprti shat dn smpurnabiarlah peperngn itu trjadi kita doakan semuanya suapaya bisa menyelesaikan perselihan kontak senjata atau apa lah dn cpt slesai dn damai sluruh dunia ingt msih ada allah swt dn pra pngikutnya allah swt itu insyallah bkl ada azab dari maha kuasa ilahi jd kita sbagai manusia tlonglah pikir pnjng jgn emosi dn ego aja yg diandalkan tp bgaimana kita bsa hdup smpe umur dipnggil,negative
1595,@budiadiadi3994,hancurkan israel dng memboikot produknya,hancurkan israel dng memboikot produknya,negative
1596,@alyutyutyut3371,Nah ini bukti kepedulian kita terhadap negri terjajah senkaligus tidak .membatu palestina mantap,nah ini bukti kepedulian kita terhadap negri terjajah senkaligus tidak membatu palestina mantap,positive
1597,@falerinsimay205,"Hati hati abc punya amerika sekutunya israel , hoax goblok nih vide",hati hati abc punya amerika sekutunya israel hoax goblok nih vide,negative
1598,@user-uj6tf9ue4l,mantap boikot produk yg terafiliasi dg zionis Israel. ini kesempatan untuk produk anak negri yg menguasai pasaran khususnya di dalam negeri,mantap boikot produk yg terafiliasi dg zionis israel ini kesempatan untuk produk anak negri yg menguasai pasaran khususnya di dalam negeri,positive
1599,@mohnurhidayat1706,warung² kecil mohon untuk tidak belanja merek² itu. karna nanti klw gk laku rugi banyak lho...,warung kecil mohon untuk tidak belanja merek itu karna nanti klw gk laku rugi banyak lho,negative
1600,@astariedtz1630,Ini produk indonesia,ini produk indonesia,positive
1601,@ngopigays101,Kalo gt jangan pakai.internet kalian smua kadrun idiot dan munapik😂,kalo gt jangan pakaiinternet kalian smua kadrun idiot dan munapik,negative
1602,@zzwp184,Aqua kena bertubi-tubi.... Habis rame bahan galon sekarang malah kena boikot,aqua kena bertubitubi habis rame bahan galon sekarang malah kena boikot,negative
1603,@user-mi4ns9il4v,"tanggung klu cuma makan minuman yg diharamkan semua produk saja. selain semua penjual merugi, pabrik merugi, salesman merugi, buruh atau karyawan merugi. Semua produk aja... Teknologi dll juga.",tanggung klu cuma makan minuman yg diharamkan semua produk saja selain semua penjual merugi pabrik merugi salesman merugi buruh atau karyawan merugi semua produk aja teknologi dll juga,negative
1604,@lutvhipath7072,Bisa dilaporin ini berita HOAX ... kena pidana,bisa dilaporin ini berita hoax kena pidana,negative
1605,@indonesiaina8682,Selama ada produk alternatif.. Maka kami sepakat untuk Boikot,selama ada produk alternatif maka kami sepakat untuk boikot,neutral
1606,@labelto1327,😂😂😂😂😂😂😂ini contoh kelakuan org2 tolol bin munafik. Lo pikir produk israel itu aja? Yutub facebook instagram apa kabar woyy dunguuu,ini contoh kelakuan org tolol bin munafik lo pikir produk israel itu aja yutub facebook instagram apa kabar woyy dunguuu,negative
1607,@tremozzzlaut9624,Dah lah gak usah lebay.... orang sama sama kebutuhan setiap manusia kok...,dah lah gak usah lebay orang sama sama kebutuhan setiap manusia kok,positive
1608,@ejeeje573,Trmksh sy jd tau.. mna yg hrs sy beli...,trmksh sy jd tau mna yg hrs sy beli,neutral
1609,@masdiyono375,mari kita bantu dengan cara yg bisa kita lakukan untuk saat ini ❤🇵🇸,mari kita bantu dengan cara yg bisa kita lakukan untuk saat ini,neutral
1610,@lucass1238,Aqua produk israel?,aqua produk israel,neutral
1611,@mukbangindonesia1,Ayo kompak beralih sama produk dalam negeri.. semngt saudaraku.mulai lah dari keluarga sendiri,ayo kompak beralih sama produk dalam negeri semngt saudarakumulai lah dari keluarga sendiri,positive
1612,@bogelrama9803,"Boikot produk Israel tpi masih main media sosial, agak aneh",boikot produk israel tpi masih main media sosial agak aneh,negative
1613,@KejuKenteL,TURUNAN PRODUK UNILEVER. YG DI BOIKOT,turunan produk unilever yg di boikot,neutral
1614,@agusherlambang5158,Free free palestine ❤,free free palestine,negative
1615,@doelkemit2425,😂😂😂😂😂😂. Numpang senyum,numpang senyum,positive
1616,@jusuf_muhammad8860,nestle?,nestle,neutral
1617,@putrisitanggang6173,Jgn lah nampak x munafik nya kawann.. Kalau mau boikot jgn satu satu.. Sekalian boikot tempt kerjamu. Liat kau kerja sama sapa.. Ada gak kerja sama dengan antek sanaa. Kalau mau save palestine.. bukan gini caranya Berdoa.. bawa dia dalam doa mu. Biar cepat damai,jgn lah nampak munafik nya kawann kalau mau boikot jgn satu satu sekalian boikot tempt kerjamu liat kau kerja sama sapa ada gak kerja sama dengan antek sanaa kalau mau save palestine bukan gini caranya berdoa bawa dia dalam doa mu biar cepat damai,negative
1618,@JokoPentol-ur2tx,Trimh kasih palestin jay selalu❤❤❤,trimh kasih palestin jay selalu,positive
